num_clicks,num_sessions,avg_session_duration,avg_bags,flight_conversion_rate,hotel_conversion_rate,hotel_discount_usage,flight_discount_usage,last_session_date,days_since_last_session,age,gender,married,has_children,home_country,num_trips,num_flights,money_spent_hotel,time_after_booking,avg_km_flown,avg_nights_per_trip,booking_style,group_k_means,group_dbscan,assigned_perk,engagement_level,travel_type
82,8,76.625,0.0,0.0,0.25,0.25,0.0,19552,733.0,66.0,1,1,0,0,2,0,3670.5,0.0,0.0,10.0,0,2,1,Hotel discount,Low,Hotel Only
73,8,67.75,0.5,0.25,0.25,0.125,0.0,19505,780.0,53.0,1,1,0,0,2,4,130.0,6.5,1451.335403701944,0.5,1,0,4,Free hotel meal,Low,Full Package
131,8,122.25,0.0,0.125,0.25,0.0,0.25,19556,729.0,52.0,1,1,1,0,2,2,2199.0,9.0,995.681599782712,4.0,1,0,6,Free hotel meal,Low,Full Package
126,8,117.75,0.4,0.625,0.625,0.125,0.25,19530,755.0,44.0,1,1,0,0,5,10,2429.0,5.6,1366.5690966548455,3.8,1,3,0,Flight discount,Low,Full Package
240,8,758.915066125,5.0,0.25,0.25,0.125,0.125,19565,720.0,46.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,1,8,5,Exclusive travel deal email,Low,Full Package
164,8,153.125,1.0,0.375,0.5,0.375,0.25,19553,732.0,53.0,1,0,1,0,5,6,5616.45,8.666666666666666,2505.165166407174,5.5,1,3,0,Flight discount,Low,Full Package
55,8,51.75,0.0,0.125,0.125,0.0,0.25,19520,765.0,52.0,1,1,1,0,1,2,2002.0,7.0,2259.7966681958487,11.0,1,0,1,Free hotel meal,Low,Full Package
159,9,131.77777777777777,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,19558,727.0,41.0,1,1,0,0,3,6,689.0,8.333333333333334,2861.519128720754,1.6666666666666667,1,6,7,Early booking discount,High,Full Package
73,8,68.125,0.0,0.125,0.0,0.125,0.0,19554,730.0,20.0,1,0,0,0,1,2,0.0,6.0,2887.178515652686,0.0,1,4,3,Loyalty points multiplier,Low,Flight Only
142,8,131.75,0.4,0.625,0.625,0.0,0.125,19527,758.0,52.0,1,0,1,0,5,10,5373.0,5.8,1959.8720315788992,5.0,1,3,0,Flight discount,Low,Full Package
149,8,139.0,2.0,0.125,0.125,0.125,0.125,19513,771.0,38.0,1,0,0,0,1,2,426.0,8.0,2265.716295635522,2.0,1,4,6,Loyalty points multiplier,Low,Full Package
150,8,138.5,0.3333333333333333,0.375,0.375,0.125,0.0,19558,726.0,46.0,1,0,1,1,3,6,681.0,8.666666666666666,1343.6251935624964,1.3333333333333333,1,1,6,Free cancellation,Low,Full Package
86,8,80.875,1.0,0.125,0.125,0.0,0.0,19534,750.0,47.0,1,1,1,0,1,2,428.0,11.0,527.63183389388,2.0,1,0,6,Free hotel meal,Low,Full Package
89,8,83.375,1.0,0.125,0.125,0.125,0.25,19552,732.0,49.0,1,1,0,0,1,2,3029.0,8.0,1807.646503324766,13.0,1,2,1,Hotel discount,Low,Full Package
63,8,58.0,0.0,0.0,0.0,0.25,0.125,19472,813.0,19.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,None
446,8,1842.5,0.3333333333333333,0.375,0.25,0.25,0.375,19548,737.0,25.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,5,Exclusive travel deal email,Low,Full Package
252,8,991.75,0.3333333333333333,0.375,0.375,0.375,0.125,19553,732.0,33.0,1,0,0,0,2,4,448.0,7.5,1538.2757842488543,2.0,1,8,5,Exclusive travel deal email,Low,Full Package
127,9,104.33333333333333,0.5,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,19558,726.0,30.0,1,0,0,0,3,4,3243.6,5.5,1394.5441345457552,4.333333333333333,1,6,7,Early booking discount,Low,Full Package
153,8,141.125,1.0,0.375,0.375,0.125,0.25,19545,740.0,54.0,1,1,0,0,3,6,4987.8,5.333333333333333,1213.4574843739658,3.3333333333333335,1,6,6,Early booking discount,Low,Full Package
148,8,665.787969,1.0,0.125,0.125,0.25,0.125,19542,743.0,20.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,Full Package
128,8,118.75,0.6666666666666666,0.375,0.375,0.125,0.125,19517,768.0,56.0,1,1,1,0,3,6,904.0,8.0,2465.5571878273126,2.0,1,6,6,Early booking discount,Low,Full Package
93,8,86.375,2.0,0.125,0.25,0.0,0.125,19480,804.0,37.0,1,0,1,0,2,2,5001.0,4.0,2350.536145550067,9.0,1,5,4,Hotel room upgrade,Low,Full Package
186,9,153.88888888888889,0.4,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.0,19541,744.0,38.0,1,0,0,0,5,10,1359.0,7.2,2423.7357077809347,1.8,1,3,0,Flight discount,High,Full Package
225,8,208.375,0.0,0.125,0.125,0.125,0.125,19506,779.0,29.0,1,0,0,0,1,2,320.0,15.0,1165.5097458688963,1.0,0,4,3,Loyalty points multiplier,Low,Full Package
292,8,1043.5,1.2857142857142858,0.875,0.875,0.125,0.375,19566,719.0,42.0,0,0,0,1,5,10,3820.0,8.0,1571.027917851075,2.8,1,8,5,Exclusive travel deal email,Low,Full Package
439,8,1399.17795025,0.6,0.625,0.5,0.5,0.375,19548,737.0,39.0,1,1,0,0,2,4,284.0,7.0,1281.5059324606702,4.0,1,8,5,Exclusive travel deal email,Low,Full Package
134,9,110.33333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,19515,770.0,41.0,1,1,1,1,3,6,5642.0,6.0,2396.8390061428404,4.666666666666667,1,1,7,Free cancellation,Low,Full Package
156,8,146.125,0.25,0.5,0.375,0.25,0.125,19546,739.0,40.0,1,0,1,0,4,8,1055.0,5.5,1452.0613504500784,2.6666666666666665,1,6,0,Early booking discount,Low,Full Package
125,8,491.328442,2.0,0.25,0.25,0.25,0.5,19429,856.0,24.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,4,Hotel room upgrade,Low,Full Package
59,9,49.888888888888886,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,19534,751.0,21.0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,None
106,8,99.375,0.0,0.125,0.25,0.0,0.25,19491,794.0,40.0,1,0,1,0,2,2,659.0,7.0,3095.3404436795545,2.0,1,5,4,Hotel room upgrade,Low,Full Package
316,9,948.8888888888889,0.2,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.2222222222222222,19515,769.0,41.0,1,0,0,0,3,6,962.0,5.0,3128.076980234809,3.5,1,8,5,Exclusive travel deal email,High,Full Package
102,8,94.625,0.0,0.25,0.125,0.125,0.0,19488,796.0,44.0,1,0,1,1,2,4,0.0,8.0,2488.128262846516,0.0,1,5,4,Hotel room upgrade,Low,Full Package
114,8,105.5,0.6666666666666666,0.375,0.375,0.0,0.125,19534,750.0,44.0,1,0,0,0,3,6,1864.0,7.0,1633.1960227085976,1.6666666666666667,1,6,6,Early booking discount,Low,Full Package
116,9,95.77777777777777,0.0,0.0,0.0,0.0,0.1111111111111111,19509,776.0,28.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,None
126,8,118.0,1.0,0.125,0.25,0.0,0.125,19554,731.0,36.0,0,0,0,0,2,2,1288.0,5.0,2953.6730397354886,6.5,1,6,2,Early booking discount,Low,Full Package
144,8,264.78542925,0.25,0.5,0.375,0.125,0.125,19546,739.0,18.0,1,0,0,0,2,4,474.0,8.5,3028.73236214432,1.5,1,6,6,Early booking discount,Low,Full Package
321,8,1012.25,0.0,0.25,0.125,0.375,0.375,19485,800.0,27.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,5,Exclusive travel deal email,Low,Full Package
129,8,119.625,0.25,0.5,0.5,0.125,0.0,19555,730.0,48.0,1,1,0,0,4,8,3193.0,7.25,1175.6900050298536,1.5,1,3,0,Flight discount,Low,Full Package
100,8,93.875,1.0,0.125,0.125,0.0,0.125,19510,775.0,19.0,1,0,0,0,2,2,2343.0,7.0,1436.751018608673,11.0,1,2,1,Hotel discount,Low,Full Package
151,8,140.625,1.0,0.125,0.25,0.375,0.125,19542,743.0,60.0,1,1,1,1,2,2,369.4,8.0,3739.589951281529,1.5,1,1,6,Free cancellation,Low,Full Package
117,8,108.25,0.6,0.625,0.5,0.125,0.125,19548,737.0,39.0,1,0,1,0,5,10,1460.0,7.4,1859.2391123662837,2.75,1,3,0,Flight discount,Low,Full Package
167,8,219.875,0.0,0.125,0.25,0.125,0.25,19525,760.0,24.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,Full Package
118,8,111.0,0.5,0.25,0.25,0.125,0.125,19512,773.0,46.0,1,0,1,0,2,4,2127.0,8.0,2391.635179278391,4.5,1,6,6,Early booking discount,Low,Full Package
98,8,91.375,1.0,0.125,0.125,0.25,0.25,19504,781.0,42.0,1,1,1,0,1,2,100.0,10.0,2409.253288662373,1.0,1,0,4,Free hotel meal,Low,Full Package
158,8,146.375,1.5,0.25,0.25,0.125,0.0,19546,738.0,38.0,1,0,0,0,2,4,236.3,7.0,1966.8305718481147,1.0,1,6,6,Early booking discount,Low,Full Package
114,8,105.625,0.0,0.125,0.25,0.125,0.25,19530,754.0,52.0,1,1,0,0,2,2,2884.0,5.0,2838.442946557796,3.0,1,0,6,Free hotel meal,Low,Full Package
190,9,155.88888888888889,0.8571428571428571,0.7777777777777778,0.6666666666666666,0.0,0.0,19552,733.0,42.0,1,1,0,0,7,13,3583.0,6.142857142857143,2533.380197339184,2.1666666666666665,1,3,0,Flight discount,High,Full Package
207,8,192.875,0.75,0.5,0.625,0.125,0.0,19545,739.0,52.0,1,1,0,0,5,8,3542.0,5.0,1772.7370842413172,5.2,1,3,0,Flight discount,Low,Full Package
98,8,91.75,2.0,0.125,0.0,0.125,0.25,19521,763.0,47.0,1,1,1,0,1,2,0.0,6.0,4183.68105154044,0.0,1,0,6,Free hotel meal,Low,Flight Only
187,9,154.11111111111111,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,19557,728.0,40.0,1,1,0,0,1,2,71.0,7.0,1090.0004072477632,1.0,1,0,7,Free hotel meal,High,Full Package
89,8,82.5,0.0,0.0,0.0,0.0,0.0,19545,740.0,22.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,None
329,8,1061.875,0.3333333333333333,0.375,0.375,0.25,0.25,19555,730.0,61.0,1,1,1,0,1,2,370.0,4.0,293.18110814727305,1.0,1,8,5,Exclusive travel deal email,Low,Full Package
76,8,71.0,1.0,0.125,0.125,0.125,0.125,19547,737.0,32.0,0,1,0,0,1,2,0.0,6.0,2171.5337603216926,0.0,1,0,2,Free hotel meal,Low,Full Package
351,8,1110.375,0.8,0.625,0.75,0.125,0.125,19553,731.0,53.0,1,0,0,0,4,6,3217.0,5.666666666666667,1710.0279977104167,3.5,1,8,5,Exclusive travel deal email,Low,Full Package
139,8,130.0,0.25,0.5,0.5,0.125,0.125,19539,746.0,42.0,1,1,1,1,4,8,5658.3,7.25,1940.680351442159,3.0,1,1,0,Free cancellation,Low,Full Package
133,8,124.0,0.5,0.5,0.5,0.125,0.25,19549,735.0,42.0,1,0,1,0,4,8,1076.0,8.0,1634.6874456759483,1.25,1,3,0,Flight discount,Low,Full Package
82,8,77.0,1.0,0.125,0.125,0.25,0.25,19546,739.0,47.0,1,0,0,0,1,2,1323.0,6.0,919.997617427402,7.0,1,6,6,Early booking discount,Low,Full Package
86,8,80.125,0.5,0.25,0.25,0.125,0.25,19503,781.0,41.0,1,0,0,0,2,4,1610.0,9.5,176.27134554289609,4.5,1,5,4,Hotel room upgrade,Low,Full Package
383,8,1085.5,0.25,0.5,0.375,0.375,0.25,19541,744.0,56.0,1,0,0,0,2,4,2596.25,8.0,3196.694435594776,4.5,1,8,5,Exclusive travel deal email,Low,Full Package
375,8,1061.125,1.0,0.25,0.375,0.25,0.125,19524,761.0,40.0,1,0,0,0,2,0,1094.0,0.0,0.0,4.5,0,8,5,Exclusive travel deal email,Low,Full Package
133,8,124.0,0.6666666666666666,0.375,0.375,0.125,0.0,19538,746.0,44.0,1,1,1,0,3,6,750.0,5.333333333333333,1603.354694102698,2.0,1,6,6,Early booking discount,Low,Full Package
198,8,610.045213,3.0,0.25,0.25,0.375,0.25,19470,815.0,45.0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1,5,4,Hotel room upgrade,Low,Full Package
119,8,110.875,0.6666666666666666,0.375,0.375,0.0,0.25,19545,740.0,54.0,1,0,0,0,3,6,864.0,5.0,1377.9597756222813,2.0,1,6,6,Early booking discount,Low,Full Package
83,8,77.0,0.0,0.0,0.0,0.125,0.0,19467,817.0,36.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,Loyalty points multiplier,Low,None
137,8,128.5,0.5,0.25,0.25,0.125,0.125,19529,756.0,41.0,1,0,1,0,2,4,152.0,7.0,2658.554844024915,1.0,1,6,6,Early booking discount,Low,Full Package
88,8,81.625,0.0,0.0,0.125,0.125,0.125,19528,756.0,52.0,0,1,1,0,1,0,474.0,0.0,0.0,2.0,0,0,1,Free hotel meal,Low,Hotel Only
122,8,112.75,0.5,0.25,0.125,0.125,0.25,19557,727.0,66.0,1,1,0,0,2,4,348.0,170.5,11233.101337738275,3.0,0,7,8,Free checked bag,Low,Full Package
162,9,133.33333333333334,1.0,0.5555555555555556,0.4444444444444444,0.0,0.2222222222222222,19531,754.0,50.0,1,0,0,0,5,10,4474.0,5.6,2557.170654426593,2.25,1,3,0,Flight discount,High,Full Package
125,8,116.0,0.6666666666666666,0.375,0.5,0.0,0.125,19511,774.0,29.0,1,0,0,1,4,6,2622.0,5.333333333333333,2522.8680668951015,2.25,1,1,0,Free cancellation,Low,Full Package
81,8,74.625,0.0,0.0,0.0,0.125,0.0,19527,758.0,68.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,Free hotel meal,Low,None
133,9,110.33333333333333,0.5,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,19546,738.0,50.0,1,0,0,0,3,4,3516.1,6.5,1082.5033993933703,4.666666666666667,1,6,7,Early booking discount,Low,Full Package
295,8,807.18696225,0.0,0.25,0.25,0.25,0.375,19546,739.0,19.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,5,Exclusive travel deal email,Low,Full Package
84,8,78.875,0.0,0.125,0.125,0.125,0.125,19546,739.0,27.0,1,0,1,0,1,2,0.0,5.0,1177.3169145652591,0.0,1,4,3,Loyalty points multiplier,Low,Full Package
100,8,92.5,0.5,0.25,0.25,0.0,0.375,19543,741.0,41.0,1,0,1,0,2,3,1634.0,7.5,1336.32601700837,4.5,1,6,6,Early booking discount,Low,Full Package
172,8,159.125,0.2,0.625,0.625,0.125,0.125,19542,743.0,51.0,1,0,0,0,5,9,2301.6,7.6,2093.0936158595055,2.2,1,3,0,Flight discount,Low,Full Package
116,8,107.875,1.0,0.25,0.125,0.0,0.25,19450,834.0,50.0,1,0,0,0,2,4,520.0,10.5,3215.735057728185,2.0,1,5,4,Hotel room upgrade,Low,Full Package
98,8,92.0,0.5,0.25,0.125,0.0,0.125,19459,826.0,47.0,1,1,0,0,2,4,291.0,7.0,3238.7131415521753,3.0,1,5,4,Hotel room upgrade,Low,Full Package
